2.613597218130531464e-09 1.000000000000000178e+01 -1.910825418261623621e+09 1.000000000000000178e+01 0.000000000000000000e+00 1.917716359082798660e+08 5.340167614429496098e+03
2.633740486379586338e-09 9.961730251377368006e+00 -1.888972897055675983e+09 9.961730251377368006e+00 0.000000000000000000e+00 1.903029008913604915e+08 5.278873959723772714e+03
2.654039000912552434e-09 9.923606320081221455e+00 -1.867369173371886015e+09 9.923606320081221455e+00 0.000000000000000000e+00 1.888454214172848761e+08 5.218284467583370315e+03
2.674493958228831976e-09 9.885627936990807996e+00 -1.846011546111619711e+09 9.885627936990807996e+00 0.000000000000000000e+00 1.873991236913833320e+08 5.158391036821544731e+03
2.695106564049408706e-09 9.847794715102487828e+00 -1.824897318830985308e+09 9.847794715102487828e+00 0.000000000000000000e+00 1.859639256724751294e+08 5.099185657052006718e+03
2.715878033387851423e-09 9.810106090077427510e+00 -1.804023764435843468e+09 9.810106090077427510e+00 0.000000000000000000e+00 1.845397415398922265e+08 5.040660409773177889e+03
2.736809590621975938e-09 9.772561518860390706e+00 -1.783388085902551651e+09 9.772561518860390706e+00 0.000000000000000000e+00 1.831264857781730294e+08 4.982807468060123028e+03
2.757902469566007905e-09 9.735160444081875752e+00 -1.762987604588228226e+09 9.735160444081875752e+00 0.000000000000000000e+00 1.817240738197198510e+08 4.925619095509247018e+03
2.779157913543296129e-09 9.697902324154211939e+00 -1.742819686030895710e+09 9.697902324154211939e+00 0.000000000000000000e+00 1.803324217594369054e+08 4.869087645139522465e+03
2.800577175459648333e-09 9.660786616170300434e+00 -1.722881633926369190e+09 9.660786616170300434e+00 0.000000000000000000e+00 1.789514470359662175e+08 4.813205558243020278e+03
2.822161517877114010e-09 9.623812867504774715e+00 -1.703170907943135500e+09 9.623812867504774715e+00 0.000000000000000000e+00 1.775810699967439473e+08 4.757965362903530149e+03
2.843912213088452604e-09 9.586980472088129090e+00 -1.683684921146662474e+09 9.586980472088129090e+00 0.000000000000000000e+00 1.762212058985363543e+08 4.703359673532080706e+03
2.865830543192117844e-09 9.550288882709311977e+00 -1.664421054133871794e+09 9.550288882709311977e+00 0.000000000000000000e+00 1.748717730202664733e+08 4.649381190370388140e+03
2.887917800167817795e-09 9.513737562118953051e+00 -1.645376811127686501e+09 9.513737562118953051e+00 0.000000000000000000e+00 1.735326906198956668e+08 4.596022698069556100e+03
2.910175285952720533e-09 9.477325973150652061e+00 -1.626549727473770142e+09 9.477325973150652061e+00 0.000000000000000000e+00 1.722038786009386480e+08 4.543277064651587352e+03
2.932604312518125094e-09 9.441053584886365257e+00 -1.607937278057370186e+09 9.441053584886365257e+00 0.000000000000000000e+00 1.708852577557713985e+08 4.491137240496865161e+03
2.955206201946842159e-09 9.404919862017381504e+00 -1.589537051997514725e+09 9.404919862017381504e+00 0.000000000000000000e+00 1.695767491417899728e+08 4.439596257399360184e+03
2.977982286511114050e-09 9.368924445151362690e+00 -1.571346751017957926e+09 9.368924445151362690e+00 0.000000000000000000e+00 1.682782805215727687e+08 4.388647226756133932e+03
3.000933908751132784e-09 9.333067278446161907e+00 -1.553364164868672371e+09 9.333067278446161907e+00 0.000000000000000000e+00 1.669897911558028162e+08 4.338283336115455313e+03
3.024062421554225661e-09 9.297347317513239062e+00 -1.535586701768775463e+09 9.297347317513239062e+00 0.000000000000000000e+00 1.657111850937575400e+08 4.288497852079028235e+03
3.047369188234527640e-09 9.261764022466673296e+00 -1.518012048904743671e+09 9.261764022466673296e+00 0.000000000000000000e+00 1.644423853218334913e+08 4.239284121935934309e+03
3.070855582613391159e-09 9.226316873065018243e+00 -1.500637842383460283e+09 9.226316873065018243e+00 0.000000000000000000e+00 1.631833160142773390e+08 4.190635569895685876e+03
3.094522989100353881e-09 9.191005345789246661e+00 -1.483461836282640457e+09 9.191005345789246661e+00 0.000000000000000000e+00 1.619339020530519485e+08 4.142545696087641772e+03
3.118372802774743781e-09 9.155828924849107153e+00 -1.466481800648676395e+09 9.155828924849107153e+00 0.000000000000000000e+00 1.606940685723813474e+08 4.095008075710619323e+03
3.142406429467898418e-09 9.120787090464977709e+00 -1.449695453011835575e+09 9.120787090464977709e+00 0.000000000000000000e+00 1.594637419395360351e+08 4.048016358112472517e+03
3.166625285846083592e-09 9.085879330746170268e+00 -1.433100620327119112e+09 9.085879330746170268e+00 0.000000000000000000e+00 1.582428481575197875e+08 4.001564265971520399e+03
3.191030799493922772e-09 9.051105130281744238e+00 -1.416695148534452677e+09 9.051105130281744238e+00 0.000000000000000000e+00 1.570313144190171659e+08 3.955645594489741597e+03
3.215624408998596235e-09 9.016463980505971421e+00 -1.400476825782616377e+09 9.016463980505971421e+00 0.000000000000000000e+00 1.558290681446703672e+08 3.910254210509358472e+03
3.240407564034627069e-09 8.981955370522022974e+00 -1.384443560230796814e+09 8.981955370522022974e+00 0.000000000000000000e+00 1.546360378137565553e+08 3.865384051657039890e+03
3.265381725449319422e-09 8.947578795068132251e+00 -1.368593266605929613e+09 8.947578795068132251e+00 0.000000000000000000e+00 1.534521519528229535e+08 3.821029125524212304e+03
3.290548365348919704e-09 8.913333938476933227e+00 -1.352923905800413609e+09 8.913333938476933227e+00 0.000000000000000000e+00 1.522773476559651196e+08 3.777183507780002401e+03
3.315908967185312971e-09 8.879220996181148351e+00 -1.337433761701495647e+09 8.879220996181148351e+00 0.000000000000000000e+00 1.511115776019523442e+08 3.733841338118659223e+03
