2.7466956417928114e-17 8.6173306373383383e+01 -2.8636348307202330e-16 8.6173306373383383e+01 3.3231166787852971e-18 4.2869597804176382e+05
1.0000002746695643e-10 8.6173262867144160e+01 -2.8636304934425220e-16 8.6173262867395039e+01 3.3231133233164576e-18 4.2869532873497735e+05
2.0000002746695646e-10 8.6173219360970833e+01 -2.8636261561757608e-16 8.6173219361472604e+01 3.3231099678543932e-18 4.2869467942983005e+05
3.5000002746695646e-10 8.6173154101834385e+01 -2.8636196502961470e-16 8.6173154102712473e+01 3.3231049346740035e-18 4.2869370547518221e+05
5.7500002746695656e-10 8.6173056213407705e+01 -2.8636098915229140e-16 8.6173056214850291e+01 3.3230973849320045e-18 4.2869224455012515e+05
9.1250002746695659e-10 8.6172909381393154e+01 -2.8635952534669916e-16 8.6172909383682480e+01 3.3230860603833271e-18 4.2869005317809753e+05
1.4187500274669567e-09 8.6172689134778651e+01 -2.8635732966169401e-16 8.6172689138338072e+01 3.3230690737050318e-18 4.2868676615506172e+05
2.1781250274669569e-09 8.6172358768023315e+01 -2.8635403618679698e-16 8.6172358773487844e+01 3.3230435940132032e-18 4.2868183569926827e+05
3.3171875274669572e-09 8.6171863225014576e+01 -2.8634909609282220e-16 8.6171863233336722e+01 3.3230053752080738e-18 4.2867444019278395e+05
5.0257812774669578e-09 8.6171119926530636e+01 -2.8634168621818359e-16 8.6171119939139075e+01 3.3229480486487057e-18 4.2866334733175434e+05
7.5886719024669576e-09 8.6170005014868721e+01 -2.8633057200541562e-16 8.6170005033906335e+01 3.3228620625181838e-18 4.2864670893722086e+05
1.1433007839966960e-08 8.6168332728514443e+01 -2.8631390203431327e-16 8.6168332757195159e+01 3.3227330916659220e-18 4.2862175336350413e+05
1.7199511746216960e-08 8.6165824481526542e+01 -2.8628890011034045e-16 8.6165824524670441e+01 3.3225396541581702e-18 4.2858432454297185e+05
2.5849267605591964e-08 8.6162062521705835e+01 -2.8625140404645867e-16 8.6162062586541253e+01 3.3222495401228077e-18 4.2852819152509258e+05
3.8823901394654470e-08 8.6156420505753900e+01 -2.8619517529540378e-16 8.6156420603119287e+01 3.3218144640529330e-18 4.2844401496999635e+05
5.8285852078248224e-08 8.6147959559625974e+01 -2.8611086667799897e-16 8.6147959705769821e+01 3.3211620635728068e-18 4.2831780179895274e+05
8.7478778103638849e-08 8.6135272813112536e+01 -2.8598448134172864e-16 8.6135273032386948e+01 3.3201839432132330e-18 4.2812859819743509e+05
1.3126816714172479e-07 8.6116253198871902e+01 -2.8579507772630835e-16 8.6116253527758786e+01 3.3187178424908998e-18 4.2784505386235169e+05
1.9695225069885370e-07 8.6087747387998832e+01 -2.8551136404451183e-16 8.6087747881116996e+01 3.3165211176449428e-18 4.2742032381196128e+05
2.9547837603454712e-07 8.6045041704499582e+01 -2.8508667280608422e-16 8.6045042443543821e+01 3.3132314781278132e-18 4.2678454505961708e+05
4.4326756403808713e-07 8.5981102197581095e+01 -2.8445160716504017e-16 8.5981103304570311e+01 3.3083092383467499e-18 4.2583382792011590e+05
6.6495134604339720e-07 8.5885459702014074e+01 -2.8350341987456623e-16 8.5885461358805884e+01 3.3009532451320731e-18 4.2441435590798646e+05
9.9747701905136233e-07 8.5742592738427348e+01 -2.8209098356566355e-16 8.5742595215195735e+01 3.2899804031811676e-18 4.2229988568433688e+05
1.4962655285633098e-06 8.5529623549866415e+01 -2.7999421136990974e-16 8.5529627246067449e+01 3.2736572996896322e-18 4.1916093896601151e+05
2.2444482928312315e-06 8.5213126867737458e+01 -2.7689740091194771e-16 8.5213132369736229e+01 3.2494742825807556e-18 4.1452489750312135e+05
3.2572475884509313e-06 8.4790240773280544e+01 -2.7279536197940368e-16 8.4790248676049771e+01 3.2173021396730048e-18 4.0838399145800882e+05
4.2801746176001752e-06 8.4369453330282269e+01 -2.6875409178789652e-16 8.4369463608161851e+01 3.1854485240276268e-18 4.0233405868301936e+05
5.3133306552560330e-06 8.3950754123791967e+01 -2.6477269009270774e-16 8.3950766751289507e+01 3.1539102819958241e-18 3.9637375147265889e+05
6.3568179891267362e-06 8.3534132790545073e+01 -2.6085026998558863e-16 8.3534147742334838e+01 3.1226842911521925e-18 3.9050174208674731e+05
7.4107399297789166e-06 8.3119579018706673e+01 -2.5698595769719131e-16 8.3119596269628360e+01 3.0917674599855861e-18 3.8471672245464550e+05
8.4752008208661071e-06 8.2707082547616281e+01 -2.5317889240242462e-16 8.2707102072673905e+01 3.0611567275930445e-18 3.7901740388386574e+05
9.5503060494595248e-06 8.2296633167533855e+01 -2.4942822602869490e-16 8.2296654941894545e+01 3.0308490633767501e-18 3.7340251677299739e+05
1.0636162056482176e-05 8.1888220719387078e+01 -2.4573312306698641e-16 8.1888244718380022e+01 3.0008414667439854e-18 3.6787081032888626e+05
1.1732876347247298e-05 8.1481835094519951e+01 -2.4209276038574219e-16 8.1481861293635220e+01 2.9711309668100600e-18 3.6242105228800350e+05
1.2840557502102179e-05 8.1077466234442596e+01 -2.3850632704749980e-16 8.1077494609330003e+01 2.9417146221041828e-18 3.5705202864194225e+05
1.3959315187178433e-05 8.0675104130582227e+01 -2.3497302412824514e-16 8.0675134657050251e+01 2.9125895202782353e-18 3.5176254336698004e+05
1.5089260165249762e-05 8.0274738824035509e+01 -2.3149206453944246e-16 8.0274771478050170e+01 2.8837527778184479e-18 3.4655141815764940e+05
1.6230504306698312e-05 7.9876360405322018e+01 -2.2806267285269948e-16 7.9876395163005753e+01 2.8552015397599093e-18 3.4141749216425355e+05
